,Strategy,Benchmark
Total Return,3.924135809932298,3.4543087086386883
Annualized Return,0.11631697791229101,0.1086170302081344
Annualized Volatility,0.1422188687460616,0.28643629648370145
sharpe,0.6069305618399622,0.27446601975112395
Average Return,0.0004946936968715833,0.0005946837317018889
Volatility,0.00912399795099161,0.018376212701236877
Max Drawback,-0.3078555391241461,-0.7191076418671289
Information Ratio,0.023784491774387382,
alpha,0.08753158568116412,
beta,-0.015449677578223199,
Active Risk,0.020769299974928306,
Annualized Active Risk,0.3237381642288606,
