,Strategy,Benchmark
Total Return,4.065886416937371,0.5431367302501724
Annualized Return,0.19566608050326684,0.04893997448407572
Annualized Volatility,0.27952007092409425,0.24721885955300799
sharpe,0.5926804467227497,0.07661217480867258
Average Return,0.0008975227146159449,0.0003232206957165888
Volatility,0.017932467961785704,0.015860200177494215
Max Drawback,-0.608910550516832,-0.5791414842243106
Information Ratio,1.0143034196117036,
alpha,0.14732384321027078,
beta,0.9684404436984738,
Active Risk,0.00928039727751028,
Annualized Active Risk,0.1446570160192903,
