,Strategy,Benchmark
Total Return,2.6768509622159984,0.4735802561950986
Annualized Return,0.15419942563313405,0.04362503463444889
Annualized Volatility,0.27611700474880574,0.2584082680140132
sharpe,0.44980723206860457,0.052726775111197374
Average Return,0.0007482090340274369,0.00031406180581239796
Volatility,0.017714145982407094,0.016578050985398447
Max Drawback,-0.6485386028944096,-0.6097454734015024
Information Ratio,0.9651058788053442,
alpha,0.1109418862151666,
beta,0.9730279425820852,
Active Risk,0.007350327008159736,
Annualized Active Risk,0.11457229038492607,
