ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399006.SZ,20100601,973.233,986.015,994.793,948.118,1000.0,-26.767,-2.6767,1356285.1,4924176.8389
399006.SZ,20100602,997.119,967.609,997.119,952.611,973.233,23.886,2.4543,1074627.58,4001206.1608
399006.SZ,20100603,998.394,1002.355,1026.702,997.775,997.119,1.275,0.1279,1616805.39,6240835.4959
399006.SZ,20100604,1027.681,989.681,1027.681,986.504,998.394,29.287,2.9334,1500295.01,5269440.6441
399006.SZ,20100607,1069.468,1005.028,1075.225,1001.702,1027.681,41.787,4.0661,2655275.37,9106094.7234
399006.SZ,20100608,1067.154,1067.324,1075.503,1050.965,1069.468,-2.314,-0.2164,1976720.78,6621994.2953
399006.SZ,20100609,1077.823,1070.852,1102.098,1069.431,1067.154,10.669,0.9998,2541568.09,8994866.3957
399006.SZ,20100610,1117.478,1077.675,1119.106,1076.281,1077.823,39.655,3.6792,2197404.71,8242731.1002
399006.SZ,20100611,1122.199,1122.443,1128.228,1118.706,1117.478,4.721,0.4225,2224874.19,8449039.1559
399006.SZ,20100617,1064.839,1126.13,1129.685,1064.839,1122.199,-57.36,-5.1114,1764283.56,6757409.3164
399006.SZ,20100618,1000.277,1052.067,1053.138,993.174,1064.839,-64.562,-6.0631,1630650.95,5827721.3673
399006.SZ,20100621,1040.802,991.957,1043.156,976.414,1000.277,40.525,4.0514,1574797.64,5604269.4473
399006.SZ,20100622,1034.995,1037.039,1057.365,1033.647,1040.802,-5.807,-0.5579,1427162.06,5067480.2919
399006.SZ,20100623,1047.337,1026.865,1056.348,1023.737,1034.995,12.342,1.1925,1257359.43,4608672.5118
399006.SZ,20100624,1050.601,1046.759,1059.754,1041.539,1047.337,3.264,0.3116,1069132.94,3904947.8689
399006.SZ,20100625,1016.283,1046.212,1046.212,999.163,1050.601,-34.318,-3.2665,1237298.34,4515664.6372
399006.SZ,20100628,987.827,1009.223,1014.413,984.216,1016.283,-28.456,-2.8,920673.32,3463552.1842
399006.SZ,20100629,913.309,985.572,992.227,912.54,987.827,-74.518,-7.5436,1497799.69,5293896.897
399006.SZ,20100630,919.314,898.291,921.81,881.36,913.309,6.005,0.6575,1223661.04,3852158.5863
399006.SZ,20100701,882.19,914.395,921.214,882.19,919.314,-37.124,-4.0382,1049572.91,3663773.7218
399006.SZ,20100702,873.12,878.951,885.338,832.623,882.19,-9.07,-1.0281,1288833.5,4212661.7744
399006.SZ,20100705,862.268,857.369,870.863,842.733,873.12,-10.852,-1.2429,915864.33,2851736.0069
399006.SZ,20100706,893.718,859.258,898.445,857.797,862.268,31.45,3.6474,1165231.57,3751055.7134
399006.SZ,20100707,908.549,896.532,908.549,890.336,893.718,14.831,1.6595,1046162.96,3342473.6726
399006.SZ,20100708,905.509,911.997,914.296,887.027,908.549,-3.04,-0.3346,1098087.88,3780698.9451
399006.SZ,20100709,932.147,903.496,936.53,896.886,905.509,26.638,2.9418,1451460.33,4743256.7807
399006.SZ,20100712,930.173,931.535,941.071,924.058,932.147,-1.974,-0.2118,1263617.53,4188147.3016
399006.SZ,20100713,931.08,924.948,936.644,906.304,930.173,0.907,0.0975,1468657.41,4744135.6231
399006.SZ,20100714,922.362,929.749,937.932,916.074,931.08,-8.718,-0.9363,1423586.18,4648080.3293
399006.SZ,20100715,892.557,920.046,930.555,892.557,922.362,-29.805,-3.2314,1175880.81,3960490.8642
399006.SZ,20100716,892.298,885.067,895.056,869.022,892.557,-0.259,-0.029,1009312.28,3264221.675
399006.SZ,20100719,908.049,881.656,910.176,878.065,892.298,15.751,1.7652,938802.57,2992584.1336
399006.SZ,20100720,937.017,909.543,937.545,909.543,908.049,28.968,3.1901,1365808.67,4559580.8687
399006.SZ,20100721,941.25,940.097,959.038,938.16,937.017,4.233,0.4518,1665745.58,5960654.0234
399006.SZ,20100722,950.209,938.218,950.209,932.019,941.25,8.959,0.9518,1326602.71,4356669.3353
399006.SZ,20100723,960.588,951.84,964.743,948.126,950.209,10.379,1.0923,1721251.33,5339086.4181
399006.SZ,20100726,966.154,962.76,966.732,954.759,960.588,5.566,0.5794,1476035.66,4626044.945
399006.SZ,20100727,957.967,963.544,968.04,955.731,966.154,-8.187,-0.8474,1361821.3,4574086.8003
399006.SZ,20100728,972.534,955.188,972.534,954.521,957.967,14.567,1.5206,1566182.68,5187227.5272
399006.SZ,20100729,975.362,974.295,982.015,965.606,972.534,2.828,0.2908,1794193.09,5897853.3043
399006.SZ,20100730,968.431,971.663,971.663,955.918,975.362,-6.931,-0.7106,1458486.78,5049473.2416
399006.SZ,20100802,994.228,968.45,994.228,968.45,968.431,25.797,2.6638,1810364.29,6104407.789
399006.SZ,20100803,975.645,995.195,996.263,975.645,994.228,-18.583,-1.8691,1757058.77,5951414.5616
399006.SZ,20100804,978.014,971.407,978.014,955.93,975.645,2.369,0.2428,1446165.38,4758297.3208
399006.SZ,20100805,987.351,980.27,998.101,978.333,978.014,9.337,0.9547,1770399.72,6033987.1208
399006.SZ,20100806,1011.39,987.967,1011.39,985.63,987.351,24.039,2.4347,1899061.35,6225316.7457
399006.SZ,20100809,1032.339,1013.245,1032.339,1013.245,1011.39,20.949,2.0713,2091995.02,6918898.5015
399006.SZ,20100810,993.992,1031.978,1034.332,993.992,1032.339,-38.347,-3.7146,2177071.59,7106822.6011
399006.SZ,20100811,1004.637,991.278,1006.448,990.94,993.992,10.645,1.0709,1615078.22,5180189.7265
399006.SZ,20100812,991.777,994.052,1007.576,987.978,1004.637,-12.86,-1.2801,1689189.23,5316055.4419
399006.SZ,20100813,1007.206,992.626,1007.52,986.623,991.777,15.429,1.5557,1471798.42,4831450.1388
399006.SZ,20100816,1030.217,1007.498,1031.052,1005.052,1007.206,23.011,2.2846,1880400.07,6199923.3288
399006.SZ,20100817,1033.581,1031.075,1036.821,1023.079,1030.217,3.364,0.3265,1800777.1,6092952.2535
399006.SZ,20100818,1026.722,1033.707,1035.611,1018.496,1033.581,-6.859,-0.6636,1643501.47,5721278.6026
399006.SZ,20100819,1025.526,1026.983,1033.248,1021.704,1026.722,-1.196,-0.1165,1624534.28,5547407.0311
399006.SZ,20100820,995.944,1021.458,1022.448,993.56,1025.526,-29.582,-2.8846,2404560.97,9468962.916
399006.SZ,20100823,995.613,994.938,1001.183,991.518,995.944,-0.331,-0.0332,1773928.12,6691922.8634
399006.SZ,20100824,1004.985,993.576,1007.76,987.224,995.613,9.372,0.9413,1608155.11,6272781.8885
399006.SZ,20100825,976.878,1000.269,1002.329,976.555,1004.985,-28.107,-2.7968,2166638.42,7732030.9715
